# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
60                      	6.4909540906612842e-03	2.3895555641126869e-03	4.1013985265485973e-03	1.6576707167892028e-03	3.1610273904344411e-03	-1.5033566736452383e-03	2.3321920320398398e-03	-8.5592148121795518e-04	3.3515383866813170e-03	-3.1156448858540514e-22	3.3515383866813170e-03	-3.3515383866813170e-03
61                      	9.4987419771076671e-03	3.9328923805899392e-03	5.5658495965177288e-03	1.5812813546642510e-03	5.2284789512659904e-03	-3.6471975966017394e-03	4.4378382739338647e-03	-8.1647860796389476e-04	4.9045791907941548e-03	-4.0656657636768035e-22	4.9045791907941548e-03	-4.9045791907941548e-03
62                      	1.2678386035901081e-02	5.5843191228505491e-03	7.0940669130505323e-03	1.4619709613961870e-03	7.4407576289543904e-03	-5.9787866675582030e-03	6.7097721482562971e-03	-7.5487389509999150e-04	6.5463561884718038e-03	-5.0018849689744487e-22	6.5463561884718038e-03	-6.5463561884718038e-03
63                      	1.5256641376211334e-02	6.9461843258625377e-03	8.3104570503487966e-03	1.3210995370025176e-03	9.2662351336805174e-03	-7.9451355966780011e-03	8.6056853651792584e-03	-6.8213636224312988e-04	7.8776122138607529e-03	-5.7193916392736155e-22	7.8776122138607529e-03	-7.8776122138607529e-03
64                      	1.6856988730953350e-02	7.8118682458242694e-03	9.0451204851290795e-03	1.1942252697065543e-03	1.0428843344003496e-02	-9.2346180742969436e-03	9.8317307091502198e-03	-6.1662611965240463e-04	8.7039353578125134e-03	-6.1118627504501857e-22	8.7039353578125134e-03	-8.7039353578125134e-03
65                      	1.7529661429743836e-02	8.1953010887905950e-03	9.3343603409532429e-03	1.1030130732967429e-03	1.0948196767502952e-02	-9.8451836942062103e-03	1.0396690230854582e-02	-5.6952962608132452e-04	9.0512630911749273e-03	-6.2481103636544752e-22	9.0512630911749273e-03	-9.0512630911749273e-03
66                      	1.7436629455026748e-02	8.1866856673967810e-03	9.2499437876299648e-03	1.0296107113650448e-03	1.0944830504307525e-02	-9.9152197929424819e-03	1.0430025148625004e-02	-5.3162906011659143e-04	9.0032269735105426e-03	-6.0738560572855846e-22	9.0032269735105426e-03	-9.0032269735105426e-03
67                      	1.6540740767358685e-02	7.7817930206752640e-03	8.7589477466834195e-03	9.4623210809650698e-04	1.0411470450536239e-02	-9.4652383424397354e-03	9.9383543964879865e-03	-4.8857736300407864e-04	8.5406439256296499e-03	-5.7372156697111071e-22	8.5406439256296499e-03	-8.5406439256296499e-03
68                      	1.4948892712336681e-02	7.0401877398799384e-03	7.9087049724567409e-03	8.4103251002690604e-04	9.4268091142849491e-03	-8.5857766042580445e-03	9.0062928592714968e-03	-4.3425861628840174e-04	7.7187093089842928e-03	-5.2024069893651639e-22	7.7187093089842928e-03	-7.7187093089842928e-03
69                      	1.2940563140427221e-02	6.1069207752696931e-03	6.8336423651575284e-03	7.0372407122049974e-04	8.1834388538938041e-03	-7.4797147826733048e-03	7.8315768182835553e-03	-3.6336079494391811e-04	6.6817286803513088e-03	-4.4524769969915104e-22	6.6817286803513088e-03	-6.6817286803513088e-03
