# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00)
# magUInf               : 1.6000000000000000e+01
# lRef                  : 1.5300000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 7.6500000000000001e-01 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
69                      	2.1982528288843066e-03	9.7770610508980779e-04	1.2205467237944988e-03	2.3515578899884610e-04	1.3410781020217718e-03	-1.1059223130229258e-03	1.2235002075223487e-03	-1.2142030935234546e-04	1.1350455783128122e-03	3.8587080441622602e-22	1.1350455783128122e-03	-1.1350455783128122e-03
70                      	2.8338816400361052e-03	1.5787881640544896e-03	1.2550934759816153e-03	-3.1345118528575822e-04	2.1023366621792847e-03	-2.4157878474650430e-03	2.2590622548221639e-03	1.6184734403643721e-04	1.4632460755741978e-03	3.8621302197776224e-22	1.4632460755741978e-03	-1.4632460755741978e-03
71                      	3.4477820945025255e-03	2.1868783424539451e-03	1.2609037520485806e-03	-8.9667159703810573e-04	2.8697027336408404e-03	-3.7663743306789463e-03	3.3180385321598931e-03	4.6298729520268222e-04	1.7802273559849634e-03	3.8268923418328802e-22	1.7802273559849634e-03	-1.7802273559849634e-03
72                      	3.8871752391963030e-03	2.6667910670961623e-03	1.2203841721001407e-03	-1.4006345249012110e-03	3.4700174229422105e-03	-4.8706519478434220e-03	4.1703346853928158e-03	7.2320344749801093e-04	2.0071035548791367e-03	3.7861493453130416e-22	2.0071035548791367e-03	-2.0071035548791367e-03
73                      	4.1426513900487726e-03	2.9974187638205220e-03	1.1452326262282502e-03	-1.7935726522254306e-03	3.8779113183029052e-03	-5.6714839705283354e-03	4.7746976444156203e-03	9.2609306879613612e-04	2.1390160772147278e-03	3.4813654283362020e-22	2.1390160772147278e-03	-2.1390160772147278e-03
74                      	4.2501983015036503e-03	3.1983257825226145e-03	1.0518725189810362e-03	-2.0785275273535542e-03	4.1201024169816580e-03	-6.1986299443352122e-03	5.1593661806584356e-03	1.0732266317707892e-03	2.1945468354169187e-03	3.2309139114799137e-22	2.1945468354169187e-03	-2.1945468354169187e-03
75                      	4.2405237055174443e-03	3.3005786288488421e-03	9.3994507666860178e-04	-2.2859299587568143e-03	4.2358637319455557e-03	-6.5217936907023709e-03	5.3788287113239628e-03	1.1803167760901202e-03	2.1895514557900508e-03	3.0618433664348252e-22	2.1895514557900508e-03	-2.1895514557900508e-03
76                      	4.1376499655365094e-03	3.3223903719478516e-03	8.1525959358865797e-04	-2.4277911967655486e-03	4.2485102817418630e-03	-6.6763014785074124e-03	5.4624058801246381e-03	1.2535653891795969e-03	2.1364336423358469e-03	2.5204471600288339e-22	2.1364336423358469e-03	-2.1364336423358469e-03
77                      	3.9527644599862306e-03	3.2560003402929152e-03	6.9676411969331505e-04	-2.4782477326059410e-03	4.1504401287119118e-03	-6.6286878613178524e-03	5.3895639950148821e-03	1.2796181102998003e-03	2.0409698845680535e-03	2.4058355251740811e-22	2.0409698845680535e-03	-2.0409698845680535e-03
78                      	3.8170201295673542e-03	3.1745717166497605e-03	6.4244841291759378e-04	-2.4519928194368461e-03	4.0401042692527868e-03	-6.4920970886896325e-03	5.2661006789712092e-03	1.2660616518660834e-03	1.9708796747439279e-03	2.1332166255514865e-22	1.9708796747439279e-03	-1.9708796747439279e-03
