# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
44                      	smoothSolver	7.1726087597757282e-02	6.4381542544232027e-03	5	1.0606720636825390e-01	7.5516987483745142e-03	6	false	smoothSolver	8.7337397348372526e-03	5.8339204603303325e-04	2	true	smoothSolver	1.4072349798685279e-03	6.4313955020384923e-05	2	true	GAMG	7.3358277627427998e-02	3.6134930598419302e-03	3	true
45                      	smoothSolver	6.9732934711212058e-02	6.1720009840651483e-03	5	1.0518443196759890e-01	7.6165115909886368e-03	6	false	smoothSolver	8.6261239658666170e-03	6.0265258970482454e-04	2	true	smoothSolver	1.3726467888213209e-03	6.2778012847702897e-05	2	true	GAMG	7.9824663922848219e-02	3.8890426416720090e-03	3	true
46                      	smoothSolver	6.8668794072305597e-02	5.9544871368835744e-03	5	1.0485884690250410e-01	7.6308510170795671e-03	6	false	smoothSolver	8.6430040165025208e-03	6.1715237270577579e-04	2	true	smoothSolver	1.3298168169864569e-03	6.3032082505117432e-05	2	true	GAMG	8.5008028203973074e-02	4.2333140669382286e-03	3	true
47                      	smoothSolver	6.7780134544587853e-02	5.6695539464139593e-03	5	1.0397326439689050e-01	7.5641949618131333e-03	6	false	smoothSolver	8.6773302806737469e-03	6.0294147719896812e-04	2	true	smoothSolver	1.2989669810945970e-03	6.2451745444114777e-05	2	true	GAMG	8.4148567136072619e-02	4.0539763374385250e-03	3	true
48                      	smoothSolver	6.5842066957976439e-02	5.3466183198456118e-03	5	1.0219204724879290e-01	7.4829794951579692e-03	6	false	smoothSolver	8.7039691108725861e-03	6.1700476470896129e-04	2	true	smoothSolver	1.2803218375321340e-03	6.0009044826092031e-05	2	true	GAMG	7.6148437537846642e-02	7.3556956919551527e-03	2	true
49                      	smoothSolver	6.3650972991648180e-02	5.0171487667046363e-03	5	1.0150175733690819e-01	7.3445360567979496e-03	6	false	smoothSolver	8.6265911325094022e-03	6.1540939705803134e-04	2	true	smoothSolver	1.2388189909260160e-03	6.0959313852465220e-05	2	true	GAMG	6.1421001669772497e-02	2.9060119953423832e-03	3	true
50                      	smoothSolver	6.1237985042367583e-02	4.7668243013473024e-03	5	1.0001403611639351e-01	7.1799719519429700e-03	6	false	smoothSolver	8.5181735805909421e-03	6.0508414674991949e-04	2	true	smoothSolver	1.2497084899228709e-03	6.1519793865193274e-05	2	true	GAMG	5.4189648579725871e-02	2.6141304854886880e-03	3	true
51                      	smoothSolver	5.8482390393800258e-02	4.5712200031418461e-03	5	9.6658645763239709e-02	6.9925082968580231e-03	6	false	smoothSolver	8.5748521536434096e-03	5.8866929916135584e-04	2	true	smoothSolver	1.2503219910844829e-03	6.3472170624497310e-05	2	true	GAMG	5.0665720807643318e-02	2.5124355064193591e-03	3	true
52                      	smoothSolver	5.5948679186851279e-02	4.4101083575466531e-03	5	9.2590953389137837e-02	6.8120422443400403e-03	6	false	smoothSolver	8.6014537596541714e-03	5.4670302462847152e-04	2	true	smoothSolver	1.2743569845654001e-03	5.9706301918300718e-05	2	true	GAMG	4.9085805460409110e-02	2.5064386467724322e-03	3	true
53                      	smoothSolver	5.3710227557262062e-02	4.2526320415155836e-03	5	8.8440444702580390e-02	6.5755384102297951e-03	6	false	smoothSolver	8.5720589071572630e-03	5.3244617217376028e-04	2	true	smoothSolver	1.2859006464967561e-03	5.8554076685169298e-05	2	true	GAMG	4.8340573038197290e-02	2.5978177647943842e-03	3	true
54                      	smoothSolver	5.1250733049813382e-02	4.1655416772133263e-03	5	8.4604591619399622e-02	6.3274745056795898e-03	6	false	smoothSolver	8.5486398010718480e-03	5.6078138584005868e-04	2	true	smoothSolver	1.3221156161485319e-03	6.4395448305905307e-05	2	true	GAMG	4.7561708086319418e-02	2.5859764732500531e-03	3	true
55                      	smoothSolver	4.8966406847069592e-02	4.1560550947625282e-03	5	8.0764091491078341e-02	6.0463734946074443e-03	6	false	smoothSolver	8.8361249852775131e-03	5.5262843369108911e-04	2	true	smoothSolver	1.3091850037124510e-03	6.3439597458742270e-05	2	true	GAMG	4.5920413022171161e-02	2.5344427783046998e-03	3	true
56                      	smoothSolver	4.6882862020739893e-02	4.1637333337474344e-03	5	7.6904941669698093e-02	5.7378400002917806e-03	6	false	smoothSolver	9.1531055995053724e-03	5.9229875372240860e-04	2	true	smoothSolver	1.2389374480852530e-03	6.0923627957026228e-05	2	true	GAMG	4.3619631558576101e-02	2.4649671448293579e-03	3	true
57                      	smoothSolver	4.4977362232901892e-02	4.1751549322649826e-03	5	7.2833787366558836e-02	5.4734148281248137e-03	6	false	smoothSolver	9.3833052193671353e-03	6.3080150804737008e-04	2	true	smoothSolver	1.1872018304497590e-03	5.7506961509544362e-05	2	true	GAMG	4.1844521508255669e-02	2.3963249973252779e-03	3	true
58                      	smoothSolver	4.3066529276022690e-02	4.2268888141237214e-03	5	6.8881324093549287e-02	5.2494769629341060e-03	6	false	smoothSolver	9.6003477410268462e-03	6.2797216691370538e-04	2	true	smoothSolver	1.1456791974234360e-03	5.8091178064563477e-05	2	true	GAMG	4.1889027295101217e-02	2.3532125557637960e-03	3	true
59                      	smoothSolver	4.1704266567917980e-02	2.9491817678178951e-03	6	6.5420647282078817e-02	5.0735149704633871e-03	6	false	smoothSolver	9.8387118744048940e-03	6.3989085534621318e-04	2	true	smoothSolver	1.0934976017365060e-03	5.0105656955077302e-05	2	true	GAMG	4.1244290480230511e-02	2.2947470740824422e-03	3	true
60                      	smoothSolver	4.0711504159284012e-02	3.0012732602721069e-03	6	6.3294008760771611e-02	5.0450987132412200e-03	6	false	smoothSolver	1.0303365324155630e-02	6.3480353671336231e-04	2	true	smoothSolver	1.0392193646810771e-03	4.5697978713519591e-05	2	true	GAMG	4.0645169059927461e-02	2.3145713510333162e-03	3	true
61                      	smoothSolver	4.0308973467266189e-02	3.0577411908851481e-03	6	6.2819236227958722e-02	5.1626833529196349e-03	6	false	smoothSolver	1.0931519400605541e-02	6.8920458505830325e-04	2	true	smoothSolver	9.8310551329148458e-04	4.3930492303666387e-05	2	true	GAMG	4.0217056810466958e-02	2.4334368064479590e-03	3	true
62                      	smoothSolver	4.0451401391543053e-02	3.1210422842860731e-03	6	6.3529858681062271e-02	5.3337086260137334e-03	6	false	smoothSolver	1.1583552516714351e-02	7.3669613489227650e-04	2	true	smoothSolver	9.4544210861557314e-04	4.6262982264372249e-05	2	true	GAMG	4.0908277794890348e-02	2.6405673143468080e-03	3	true
63                      	smoothSolver	4.1336505762192319e-02	3.2287610333330669e-03	6	6.4677258707988766e-02	5.5166377549450097e-03	6	false	smoothSolver	1.2211774011931419e-02	8.4333539040808451e-04	2	true	smoothSolver	1.2467452443798810e-03	4.4929600769956382e-05	2	true	GAMG	4.2439896366087720e-02	2.9072681391239400e-03	3	true
64                      	smoothSolver	4.2640036339766679e-02	3.3790678889001500e-03	6	6.5418652137791508e-02	5.7089736999885602e-03	6	false	smoothSolver	1.2798887480856710e-02	9.0438051195751456e-04	2	true	smoothSolver	8.8319761660541674e-04	4.4823536423176787e-05	2	true	GAMG	4.4969941727704271e-02	3.1422623167713750e-03	3	true
65                      	smoothSolver	4.4509928973046203e-02	3.5410252915815182e-03	6	6.6459451071159012e-02	5.8637166415699254e-03	6	false	smoothSolver	1.3299242971661110e-02	9.7996456881613292e-04	2	true	smoothSolver	8.5103865228093785e-04	4.3595438213616827e-05	2	true	GAMG	4.7766080731800407e-02	3.2461893091921571e-03	3	true
66                      	smoothSolver	4.6670235479261600e-02	3.7333197569342689e-03	6	6.8691585769380947e-02	6.1131112824468281e-03	6	false	smoothSolver	1.3404992512642360e-02	9.9034083319585057e-04	2	true	smoothSolver	8.1825132423098124e-04	3.9845787027972492e-05	2	true	GAMG	5.1584642370169867e-02	3.3123305739460539e-03	3	true
67                      	smoothSolver	4.9543959761299758e-02	3.9604932084700796e-03	6	7.1629806808583579e-02	6.4082088292572014e-03	6	false	smoothSolver	1.3258042765758040e-02	9.4328199784711084e-04	2	true	smoothSolver	7.6938016477420379e-04	3.9928886270281612e-05	2	true	GAMG	5.5687407251173882e-02	3.4176929517637390e-03	3	true
68                      	smoothSolver	5.2068253230039961e-02	4.2016795552971631e-03	6	7.4631838739450326e-02	6.7594708816784196e-03	6	false	smoothSolver	1.3196109327605799e-02	9.3813903638069321e-04	2	true	smoothSolver	7.3099466710602808e-04	3.9213645418139342e-05	2	true	GAMG	5.9679206898473933e-02	3.5066458558759540e-03	3	true
69                      	smoothSolver	5.4855985668002608e-02	4.4501413063767307e-03	6	7.8374308567078499e-02	7.1664332104009864e-03	6	false	smoothSolver	1.2978505353953460e-02	9.3522584253100376e-04	2	true	smoothSolver	6.9071891934118662e-04	3.9932356007451522e-05	2	true	GAMG	6.3735894642703489e-02	3.6348910070184239e-03	3	true
70                      	smoothSolver	5.7138939541413379e-02	4.6668782947303289e-03	6	8.2733376992762189e-02	7.5861975532695919e-03	6	false	smoothSolver	1.2574095797700300e-02	9.0531936859592843e-04	2	true	smoothSolver	6.5181139143517970e-04	3.6120666010695968e-05	2	true	GAMG	6.8670918716165652e-02	3.9268958525997448e-03	3	true
71                      	smoothSolver	5.9213300742474537e-02	4.8147933006054194e-03	6	8.7594886813717465e-02	7.9714264971814334e-03	6	false	smoothSolver	1.1926902486265920e-02	8.4216497420177368e-04	2	true	smoothSolver	6.1698050303627457e-04	3.4650282470299052e-05	2	true	GAMG	7.4610744160082329e-02	4.5013064514076032e-03	3	true
72                      	smoothSolver	5.9989521182874588e-02	4.8368346615466282e-03	6	9.2707491172725087e-02	8.2610594592918765e-03	6	false	smoothSolver	1.1337771768935049e-02	8.3124786373183488e-04	2	true	smoothSolver	5.8215328916736634e-04	3.2974189021438563e-05	2	true	GAMG	7.9621236214270752e-02	4.9892202706933366e-03	3	true
73                      	smoothSolver	5.9938472761227060e-02	4.6898812100727187e-03	6	9.8618669978115442e-02	8.4698779666807986e-03	6	false	smoothSolver	1.0748608891951599e-02	8.3009873111462254e-04	2	true	smoothSolver	5.4331250877306947e-04	3.0250066977593421e-05	2	true	GAMG	8.3277276894862501e-02	5.1785324789215296e-03	3	true
74                      	smoothSolver	5.8196692152139518e-02	4.3422847463985299e-03	6	1.0370671455847870e-01	8.5496844191283936e-03	6	false	smoothSolver	1.0208094710169820e-02	7.8094368642670333e-04	2	true	smoothSolver	4.9988527068068613e-04	2.7983816259485140e-05	2	true	GAMG	8.6452353793360234e-02	5.2963720475416119e-03	3	true
75                      	smoothSolver	5.5144364213219291e-02	3.9019587728316351e-03	6	1.0821793174598730e-01	8.6891905369708457e-03	6	false	smoothSolver	9.7844207671395744e-03	7.7403995934568169e-04	2	true	smoothSolver	4.6601426089939269e-04	2.6672692715618121e-05	2	true	GAMG	9.2233795369928498e-02	5.4601594267486954e-03	3	true
76                      	smoothSolver	5.2225293176088157e-02	3.6266955918865299e-03	6	1.1014116977474150e-01	8.8569971726934760e-03	6	false	smoothSolver	9.5747059684058583e-03	7.5733877647102190e-04	2	true	smoothSolver	4.4567013995371231e-04	2.5377716973364360e-05	2	true	GAMG	9.5279010875206002e-02	5.5890160097186352e-03	3	true
77                      	smoothSolver	4.9908098319431202e-02	3.5318238805560620e-03	6	1.1022651760934619e-01	8.9460829053412041e-03	6	false	smoothSolver	9.4752781069377904e-03	7.4997725443362616e-04	2	true	smoothSolver	4.2720156365859662e-04	2.4174693936904408e-05	2	true	GAMG	9.3761443214761084e-02	5.3773643489837299e-03	3	true
78                      	smoothSolver	4.8805321150187521e-02	3.4935103768723589e-03	6	1.0972273997153890e-01	8.7730746505244959e-03	6	false	smoothSolver	9.4174028418181708e-03	7.4834753645307013e-04	2	true	smoothSolver	4.1338223571915368e-04	2.3337496225673749e-05	2	true	GAMG	8.8888753574297263e-02	5.3232499062487830e-03	3	true
79                      	smoothSolver	4.8224313142449467e-02	3.4489537929455350e-03	6	1.0823152355048821e-01	8.4334853993123307e-03	6	false	smoothSolver	9.3306354540973382e-03	7.0941930842651315e-04	2	true	smoothSolver	3.9250406064695719e-04	2.2543045872404780e-05	2	true	GAMG	8.5301616081331355e-02	5.5167325612206679e-03	3	true
